<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.03.27	78.75	89.50	78.40	88.92	12031	0	0
2013.03.28	88.80	95.70	75.00	86.78	39381	0	0
2013.03.29	86.17	93.06	83.01	90.50	15771	0	0
2013.04.01	93.25	106.00	92.24	104.00	16771	0	0
2013.04.02	104.00	118.36	99.00	117.98	24741	0	0
2013.04.03	118.00	147.00	110.00	135.00	57001	0	0
2013.04.04	135.00	142.12	116.39	132.12	48581	0	0
2013.04.05	132.80	144.94	130.24	142.32	19881	0	0
2013.04.08	163.84	194.90	162.60	187.50	40941	0	0
2013.04.09	186.50	240.11	186.50	230.00	63721	0	0
2013.04.10	230.04	266.00	105.00	165.00	256961	0	0
2013.04.11	166.48	188.70	110.20	124.90	115421	0	0
2013.04.12	124.90	140.00	54.25	117.00	163601	0	0
2013.04.15	90.00	102.00	71.51	82.39	53371	0	0
2013.04.16	82.50	84.50	50.01	68.36	54841	0	0
2013.04.17	68.49	98.78	63.30	93.07	46381	0	0
2013.04.18	93.07	113.00	86.00	109.07	38001	0	0
2013.04.19	109.15	136.43	105.54	118.48	52451	0	0
2013.04.22	118.50	127.40	118.50	127.40	8901	0	0
2013.04.23	127.40	144.02	124.97	143.48	22021	0	0
2013.04.24	143.48	166.43	140.97	154.20	40201	0	0
2013.04.25	154.90	162.00	120.09	141.71	70631	0	0
2013.04.26	141.71	144.99	121.45	136.90	42271	0	0
2013.04.29	134.40	149.08	133.00	144.00	22561	0	0
2013.04.30	143.80	146.93	134.00	139.23	21291	0	0
2013.05.01	139.00	140.06	104.00	116.38	49501	0	0
2013.05.02	116.38	126.90	91.11	106.25	61451	0	0
2013.05.03	106.50	109.00	79.00	98.10	51601	0	0
2013.05.06	115.94	124.90	106.01	112.25	34091	0	0
2013.05.07	112.25	114.00	97.52	109.61	30321	0	0
2013.05.08	109.70	116.78	109.50	113.20	11061	0	0
2013.05.09	113.49	113.72	108.80	112.80	9151	0	0
2013.05.10	112.80	122.50	111.54	117.70	17021	0	0
2013.05.13	114.82	118.88	114.50	117.98	5601	0	0
2013.05.14	117.98	119.80	109.42	111.40	14181	0	0
2013.05.15	111.30	116.44	103.02	114.22	23921	0	0
2013.05.16	114.22	118.97	112.10	118.21	9751	0	0
