time,open,high,low,close,Volume,Volume MA
2020-01-01T23:00:00Z,1517.7,1521.217,1517.6,1518.365,12769,NaN
2020-01-02T00:00:00Z,1518.356,1519.316,1517.6,1518.635,10187,NaN
2020-01-02T01:00:00Z,1518.605,1520.87,1516.7,1519.365,21166,NaN
2020-01-02T02:00:00Z,1519.38,1520.89,1517.9,1520.45,13817,NaN
2020-01-02T03:00:00Z,1520.582,1521.16,1519.3,1520.317,8896,NaN
2020-01-02T04:00:00Z,1520.32,1520.42,1519.4,1519.53,5297,NaN
2020-01-02T05:00:00Z,1519.432,1520.377,1518.9,1520.1,10501,NaN
2020-01-02T06:00:00Z,1520.185,1520.96,1519.158,1520.902,14037,NaN
2020-01-02T07:00:00Z,1520.908,1521.397,1518.9,1519,29245,NaN
2020-01-02T08:00:00Z,1519.09,1521.04,1518.3,1520.848,44734,NaN
2020-01-02T09:00:00Z,1520.795,1521.36,1519.4,1520.69,26460,NaN
2020-01-02T10:00:00Z,1520.676,1521.39,1519.5,1521.168,20983,NaN
2020-01-02T11:00:00Z,1521.217,1522.436,1521,1521.9,22091,NaN
2020-01-02T12:00:00Z,1521.92,1523.67,1521.5,1523.1,22573,NaN
2020-01-02T13:00:00Z,1523.05,1529.1,1522.6,1528.035,60475,NaN
2020-01-02T14:00:00Z,1527.96,1530.498,1525.54,1526.23,76877,NaN
2020-01-02T15:00:00Z,1526.23,1531.335,1525.71,1529.06,72829,NaN
2020-01-02T16:00:00Z,1529.06,1529.29,1525,1525.505,51404,NaN
2020-01-02T17:00:00Z,1525.43,1526.048,1522.6,1525.238,45164,NaN
2020-01-02T18:00:00Z,1525.15,1526.58,1524.6,1526.1,29658,29958.15
2020-01-02T19:00:00Z,1526.23,1526.92,1525.3,1526.708,23276,30483.5
2020-01-02T20:00:00Z,1526.64,1528.56,1526.3,1528.315,27527,31350.5
2020-01-02T21:00:00Z,1528.2,1529.07,1527.7,1528.9,9937,30789.05
2020-01-02T22:00:00Z,1528.9,1528.9,1528.9,1528.9,1,30098.25
2020-01-02T23:00:00Z,1528.871,1529.102,1527.7,1528.745,9895,30148.2
2020-01-03T00:00:00Z,1528.73,1530.63,1528.5,1530.3,16431,30704.9
2020-01-03T01:00:00Z,1530.488,1535.748,1529.7,1534.928,41936,32276.65
2020-01-03T02:00:00Z,1534.925,1541.054,1532.5,1538.23,88136,35981.6
2020-01-03T03:00:00Z,1538.315,1540.6,1537.658,1538.588,42222,36630.45
2020-01-03T04:00:00Z,1538.49,1539.638,1537.32,1538.715,26183,35702.9
2020-01-03T05:00:00Z,1538.69,1543.88,1538.13,1541.36,52433,37001.55
2020-01-03T06:00:00Z,1541.39,1542.6,1540.91,1541.215,29468,37425.8
2020-01-03T07:00:00Z,1541.1,1543.95,1540.08,1543.38,55874,39114.95
2020-01-03T08:00:00Z,1543.435,1545.378,1542.8,1544.29,55069,40739.75
2020-01-03T09:00:00Z,1544.268,1550.38,1544,1546.77,60929,40762.45
2020-01-03T10:00:00Z,1546.805,1549.596,1545.14,1548.42,55617,39699.45
2020-01-03T11:00:00Z,1548.44,1551.48,1547.7,1549.3,45798,38347.9
2020-01-03T12:00:00Z,1549.39,1549.997,1545.2,1546.3,52662,38410.8
2020-01-03T13:00:00Z,1546.3,1547.357,1540.8,1546.3,84404,40372.8
2020-01-03T14:00:00Z,1546.26,1548.085,1544,1545.908,100626,43921.2
2020-01-03T15:00:00Z,1545.88,1551.02,1545.88,1548.85,109951,48254.95
2020-01-03T16:00:00Z,1548.75,1550.5,1547.48,1548.18,52169,49487.05
2020-01-03T17:00:00Z,1548.19,1548.9,1546.85,1548.748,35299,50755.15
2020-01-03T18:00:00Z,1548.65,1553.515,1548.24,1549.537,57738,53642
2020-01-03T19:00:00Z,1549.44,1549.825,1546.1,1547.832,50891,55691.8
2020-01-03T20:00:00Z,1547.76,1549.04,1546.76,1549.01,38535,56797
2020-01-03T21:00:00Z,1548.93,1552.148,1548.49,1552.108,12227,55311.55
2020-01-05T22:00:00Z,1551.8,1551.8,1551.8,1551.8,1,50904.8
2020-01-05T23:00:00Z,1561.005,1587.93,1559.6,1569.09,82219,52904.65
2020-01-06T00:00:00Z,1569.155,1570.817,1566.7,1569.43,61846,54687.8
2020-01-06T01:00:00Z,1569.496,1580.027,1568.5,1577.5,94348,56783.55
2020-01-06T02:00:00Z,1577.698,1578,1575,1577.515,40254,57322.85
2020-01-06T03:00:00Z,1577.537,1579.49,1576.6,1578.067,29325,55995.4
2020-01-06T04:00:00Z,1578.067,1578.277,1574.5,1576.061,29736,54728.75
2020-01-06T05:00:00Z,1576.025,1577.34,1573.1,1574.915,30962,53230.4
2020-01-06T06:00:00Z,1574.925,1577.785,1573.5,1574.2,47906,52844.85
2020-01-06T07:00:00Z,1574.28,1575.165,1570.1,1574.075,64478,53778.85
2020-01-06T08:00:00Z,1574.12,1576.477,1571.1,1575.647,82060,55248.75
2020-01-06T09:00:00Z,1575.59,1577.997,1574,1577.215,55503,53803.7
2020-01-06T10:00:00Z,1577.221,1577.66,1574.9,1577.6,37950,50669.9
2020-01-06T11:00:00Z,1577.565,1579.333,1575.9,1578.79,38583,47101.5
2020-01-06T12:00:00Z,1578.79,1578.997,1575.8,1576.645,47329,46859.5
2020-01-06T13:00:00Z,1576.58,1577.685,1571.1,1573.9,77445,48966.8
2020-01-06T14:00:00Z,1574.2,1576.617,1572.4,1572.885,86887,50424.25
2020-01-06T15:00:00Z,1572.7,1574.19,1560.6,1564.165,135054,54632.4
2020-01-06T16:00:00Z,1564.211,1565.69,1560.5,1564.705,84923,56951.8
2020-01-06T17:00:00Z,1564.6,1565.308,1561.9,1564.455,45514,58616.15
