time,open,high,low,close
2008-07-16,621.1325943,728.79557731,621.1325943,716.37292543
2008-07-17,728.79557731,728.79557731,703.95027354,703.95027354
2008-07-18,699.80938958,703.95027354,679.10496977,679.10496977
2008-07-21,683.24585373,699.80938958,679.10496977,695.66850562
2008-07-22,695.66850562,699.80938958,687.38673769,691.52762166
2008-07-23,691.52762166,691.52762166,683.24585373,687.38673769
2008-07-24,683.24585373,683.24585373,666.68231788,674.96408581
2008-07-25,670.82320185,683.24585373,662.54143392,674.96408581
2008-07-28,674.96408581,695.66850562,670.82320185,691.52762166
2008-07-29,687.38673769,699.80938958,683.24585373,695.66850562
2008-07-31,695.66850562,708.0911575,695.66850562,699.80938958
2008-08-01,695.66850562,695.66850562,670.82320185,674.96408581
2008-08-04,666.68231788,674.96408581,658.40054996,658.40054996
2008-08-05,654.259666,654.259666,637.69613015,641.83701411
2008-08-06,641.83701411,650.11878204,637.69613015,637.69613015
2008-08-07,637.69613015,650.11878204,637.69613015,645.97789807
2008-08-08,650.11878204,662.54143392,645.97789807,662.54143392
2008-08-11,662.54143392,662.54143392,637.69613015,637.69613015
2008-08-12,637.69613015,645.97789807,625.27347826,625.27347826
2008-08-13,621.1325943,625.27347826,621.1325943,621.1325943
2008-08-14,625.27347826,637.69613015,625.27347826,629.41436223
2008-08-15,637.69613015,637.69613015,625.27347826,633.55524619
2008-08-19,625.27347826,625.27347826,616.99171034,616.99171034
2008-08-20,621.1325943,637.69613015,616.99171034,633.55524619
2008-08-21,637.69613015,637.69613015,633.55524619,633.55524619
2008-08-22,641.83701411,650.11878204,641.83701411,645.97789807
2008-08-25,629.41436223,641.83701411,629.41436223,637.69613015
2008-08-26,637.69613015,645.97789807,633.55524619,637.69613015
2008-08-27,637.69613015,637.69613015,633.55524619,633.55524619
2008-08-28,637.69613015,637.69613015,633.55524619,633.55524619
2008-08-29,637.69613015,641.83701411,633.55524619,637.69613015
2008-09-01,637.69613015,641.83701411,633.55524619,633.55524619
2008-09-02,629.41436223,629.41436223,621.1325943,625.27347826
2008-09-03,621.1325943,625.27347826,612.85082638,612.85082638
2008-09-04,612.85082638,616.99171034,608.70994242,616.99171034
2008-09-05,608.70994242,608.70994242,596.28729053,600.42817449
2008-09-08,604.56905845,612.85082638,600.42817449,600.42817449
2008-09-09,600.42817449,600.42817449,579.72375468,583.86463864
2008-09-10,571.44198676,583.86463864,554.87845091,583.86463864
