time,open,high,low,close,BuyBias,SellBias,TP1-Sell,TP1-Buy,TP2-Sell,TP2-Buy,TP3-Sell,TP3-Buy,Median,New Moon,First Moon,Waning,Full Moon,1/8,3/8,5/8,7/8,Spring,Summer,Fall,midwinter,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),%K,%D
2013-11-14,1142.36736,1167.56664,1125.56784,1150.76712,1135.9676,1131.9676,1116.09735008,1151.8378499199998,1110.15032,1157.78488,1085.0690399999999,1182.8661599999998,1133.9676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1142.36736,1167.56664,1125.56784,1150.76712,14.25925925925928,9.39594356261023
2013-11-15,1167.56664,1184.36616,1117.16808,1125.56784,1149.9671999999998,1145.9671999999998,1133.3056583999999,1162.6287415999998,1129.7497599999997,1168.9845599999996,1107.4683999999997,1188.4660000000001,1147.9671999999998,NaN,NaN,NaN,NaN,NaN,1251.5642400000002,NaN,NaN,0,0,0,0,1167.56664,1184.36616,1117.16808,1125.56784,18.703703703703734,13.447971781305137
2013-11-18,1125.56784,1175.9664,1125.56784,1133.9676,1144.36736,1140.36736,1118.07969344,1166.65502656,1101.75056,1166.18464,1076.6692799999998,1208.0654399999999,1142.36736,NaN,NaN,NaN,1075.1692799999998,NaN,NaN,NaN,NaN,0,0,0,0,1125.56784,1175.9664,1125.56784,1133.9676,22.037037037037056,18.333333333333357
2013-11-19,1133.9676,1142.36736,1091.9688,1117.16808,1147.16728,1143.16728,1127.29703008,1163.0375299199998,1115.7501599999998,1163.3847199999998,1096.2687199999998,1194.06584,1145.16728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1133.9676,1142.36736,1091.9688,1117.16808,21.86868686868681,20.869809203142534
2013-11-20,1117.16808,1125.56784,1083.56904,1091.9688,1119.16808,1115.16808,1099.29783008,1135.0383299199998,1093.3508,1140.9853599999997,1068.26952,1166.0666399999996,1117.16808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1117.16808,1125.56784,1083.56904,1091.9688,20.202020202020147,21.36924803591467
2013-11-21,1083.56904,1117.16808,1075.16928,1117.16808,1102.3685600000001,1098.3685600000001,1085.7070184000002,1115.0301016,1076.5512800000004,1115.78608,1059.8697600000003,1140.86736,1100.3685600000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1083.56904,1117.16808,1075.16928,1117.16808,24.689199689199587,22.253302253302184
2013-11-22,1125.56784,1125.56784,1091.9688,1125.56784,1105.16848,1101.16848,1088.5069384,1117.8300216,1090.5508800000002,1129.78568,1062.6696800000002,1143.6672799999997,1103.16848,NaN,NaN,NaN,NaN,NaN,NaN,1058.3697600000003,NaN,0,0,0,0,1125.56784,1125.56784,1091.9688,1125.56784,32.26495726495718,25.71872571872564
2013-11-25,1125.56784,1159.16688,1117.16808,1142.36736,1116.36816,1112.36816,1102.9153267200002,1125.8209932799998,1104.55048,1135.3855199999998,1082.2691200000002,1146.4671999999996,1114.36816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1125.56784,1159.16688,1117.16808,1142.36736,56.15384615384605,37.702667702667604
2013-11-26,1142.36736,1142.36736,1083.56904,1083.56904,1141.56744,1137.56744,1124.9058984,1154.2289816,1121.3500000000001,1160.5848,1099.06864,1180.06624,1139.56744,NaN,NaN,1024.7707200000002,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1142.36736,1142.36736,1083.56904,1083.56904,46.66666666666661,45.02849002848995
2013-11-27,1083.56904,1100.36856,1049.97,1058.36976,1105.16848,1101.16848,1082.0895217600003,1124.2474382399998,1065.3516000000002,1121.38592,1045.8701600000002,1160.4668,1103.16848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1083.56904,1100.36856,1049.97,1058.36976,32.564102564102555,45.12820512820506
2013-11-28,1058.36976,1100.36856,1049.97,1058.36976,1071.56944,1067.56944,1051.69919008,1087.4396899199999,1040.1523200000001,1087.7868799999999,1020.6708800000001,1118.468,1069.56944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,1058.36976,1100.36856,1049.97,1058.36976,8.461538461538476,29.230769230769212
