time,open,high,low,close
2005-06-30,28.62445974,29.71146454,28.62445974,28.62445974
2005-07-01,28.62445974,28.62445974,28.26212481,28.26212481
2005-07-04,28.26212481,28.26212481,27.89978987,27.89978987
2005-07-05,27.89978987,27.89978987,27.89978987,27.89978987
2005-07-06,27.89978987,27.89978987,27.53745494,27.53745494
2005-07-07,27.53745494,27.53745494,26.81278507,26.81278507
2005-07-11,27.17512001,27.53745494,27.17512001,27.17512001
2005-07-12,27.17512001,27.53745494,27.17512001,27.17512001
2005-07-14,27.53745494,28.62445974,27.53745494,28.62445974
2005-07-15,28.62445974,28.62445974,27.53745494,27.53745494
2005-07-19,26.08811521,27.17512001,26.08811521,27.17512001
2005-07-20,27.17512001,27.17512001,27.17512001,27.17512001
2005-07-21,26.45045014,27.53745494,26.45045014,27.17512001
2005-07-26,27.17512001,27.53745494,27.17512001,27.17512001
2005-07-27,27.17512001,27.17512001,26.81278507,27.17512001
2005-07-28,27.17512001,27.17512001,26.81278507,26.81278507
2005-07-29,27.53745494,27.89978987,27.17512001,27.17512001
2005-08-01,27.17512001,27.17512001,27.17512001,27.17512001
2005-08-02,27.53745494,27.53745494,27.17512001,27.17512001
2005-08-03,27.53745494,30.79846934,27.53745494,29.34912961
2005-08-04,28.62445974,28.98679467,27.89978987,28.26212481
2005-08-05,28.26212481,28.98679467,28.26212481,28.62445974
2005-08-08,28.98679467,29.34912961,28.26212481,28.62445974
2005-08-09,28.98679467,29.71146454,28.98679467,29.34912961
2005-08-10,29.34912961,29.34912961,28.62445974,28.62445974
2005-08-11,28.26212481,28.26212481,27.89978987,28.26212481
2005-08-12,27.89978987,27.89978987,27.53745494,27.53745494
2005-08-15,26.81278507,27.17512001,26.45045014,26.81278507
2005-08-16,27.17512001,27.17512001,26.08811521,26.45045014
2005-08-18,25.36344534,25.72578027,25.36344534,25.72578027
2005-08-19,25.72578027,25.72578027,24.27644054,24.27644054
2005-08-22,23.9141056,24.27644054,23.9141056,23.9141056
